id,crop
611,3
6417,2
3352,4
4224,1
3102,6
6793,3
5477,2
561,4
5839,1
476,3
2759,3
5882,0
811,6
2656,0
2858,2
3825,2
3955,6
3822,0
5422,4
393,6
538,2
2417,0
1421,3
2486,3
2654,5
496,4
2876,3
2398,5
2114,0
2804,1
1242,2
3761,4
101,6
6201,4
2860,6
5684,2
3014,0
5912,3
3017,3
2069,5
712,0
1536,6
534,6
3779,2
473,0
239,4
2941,0
3279,3
1188,2
1483,5
5364,3
1244,6
1616,3
683,6
6388,1
5950,2
4934,5
3813,1
2094,3
1488,0
5934,3
1297,6
1915,4
4870,6
2833,3
733,6
2249,0
233,0
3527,5
4334,5
2900,4
5239,4
6365,4
3651,0
1971,3
3221,4
5816,0
676,2
4643,4
3100,4
982,4
1817,4
4657,3
3878,1
2268,2
2578,5
469,4
6500,1
4756,5
3353,6
5697,3
5218,4
3824,6
6270,6
5157,5
6254,5
2436,5
3535,2
5594,2
6848,6
1480,3
2299,0
970,3
6557,3
4746,2
812,6
3103,0
2131,5
5141,3
4786,5
6127,1
5360,4
1103,4
2453,6
2642,2
756,3
6507,4
3431,1
3946,0
5154,2
4996,3
6599,5
3770,3
6084,0
4442,6
4724,0
2251,3
3256,0
5166,6
1886,6
2864,0
132,2
5704,0
4050,2
2473,4
2440,3
2405,1
2598,0
429,1
2794,4
1084,0
800,2
2347,5
3328,2
6570,3
1871,6
6865,2
4404,0
4510,1
468,4
4764,5
5773,1
2291,3
6099,6
642,6
6139,6
1433,1
503,6
2389,6
5904,5
3182,2
6730,4
2034,2
3482,4
4025,5
4667,6
543,2
6505,6
5740,5
6280,0
6415,1
3768,0
5936,0
381,1
6646,5
2589,2
4046,4
6378,4
447,0
3035,6
1158,3
6697,0
6869,1
4923,1
2029,0
3887,0
1608,0
50,2
169,2
2132,5
4852,1
217,3
2239,1
1055,4
6512,5
5640,4
5405,4
2260,4
1721,5
6589,3
1650,3
179,3
1047,4
4272,4
6078,3
586,2
2208,6
3805,2
2571,4
4909,1
1539,6
3001,3
6031,1
4099,5
1221,6
5921,3
168,2
4041,5
2886,0
4872,5
230,0
3306,3
5696,4
6689,4
437,2
6591,1
2664,4
2986,5
4559,5
435,0
4591,2
79,1
5828,4
6052,2
2477,2
5292,2
1487,0
3570,0
734,3
457,3
4210,6
5987,1
3473,3
5099,0
5798,1
2415,5
511,5
6122,2
2522,6
3297,1
5706,1
2392,5
1410,3
4078,4
3785,6
6755,0
3098,1
4733,6
1839,3
3418,0
2648,2
2317,5
4765,2
5609,1
5494,4
2579,6
2550,5
4915,0
4815,2
95,3
1934,3
535,4
2850,5
3487,4
4110,4
2829,3
3206,1
3563,2
6246,2
4956,5
2484,0
2154,1
4015,1
6430,3
2899,0
4767,1
3751,5
2463,4
5771,4
2464,2
2629,5
1174,1
4291,5
5966,6
5821,2
4918,1
5185,6
6814,3
2110,5
2173,5
6643,6
4762,3
2215,0
4245,2
6759,1
1057,0
2095,1
6824,2
5413,3
5819,4
1149,0
5357,0
3907,5
61,6
4266,5
2127,2
3169,2
1181,5
2726,5
5708,0
3128,6
3439,0
19,3
5057,0
3220,2
4060,3
5206,3
6608,5
5101,2
2210,4
3277,1
5806,0
1918,4
828,1
3545,3
5617,6
5545,2
3656,2
5368,4
6561,5
247,2
1046,0
4220,5
6683,2
1507,2
1732,6
3901,2
4189,3
5613,0
487,6
1372,4
2388,2
1783,6
3504,2
3519,0
3977,2
3912,5
1632,2
4412,0
852,6
5532,3
2927,2
5803,4
4347,2
3454,0
1375,6
706,2
3402,5
1801,4
3881,4
31,4
3407,2
1744,3
3071,3
1345,1
6785,1
1034,0
6266,6
4209,2
6216,2
4983,3
1617,3
17,0
96,6
1820,3
3012,4
156,0
5735,1
4984,1
3250,6
319,3
1867,4
2609,6
4251,4
932,1
321,6
3921,4
4022,3
4071,5
5164,5
1765,5
4318,5
960,3
6129,0
6876,5
2117,3
80,1
1452,1
3497,0
994,6
5985,5
1407,4
4235,6
6864,5
1720,2
2666,6
6609,2
865,0
1219,3
1042,4
965,6
5367,6
1586,4
1992,5
6513,2
93,2
3078,6
3795,1
1005,1
3951,6
5643,3
763,1
2677,5
3961,6
4287,3
37,1
408,3
6551,0
2465,3
5796,5
5559,4
2406,0
4357,3
1038,4
3759,2
1039,5
3842,1
2118,2
1352,4
1656,1
3947,3
3248,4
6503,1
5123,4
2981,6
4315,1
6156,0
742,3
3320,5
576,3
1374,1
5386,1
3260,6
4877,1
472,0
263,2
2338,5
6897,0
1321,3
1883,1
6871,0
2091,1
5670,4
334,1
4252,2
927,2
2728,5
4747,3
1277,5
23,5
6795,1
2691,5
625,6
5737,6
1197,4
4801,0
3703,5
5940,1
4402,3
1097,6
585,6
1737,2
1499,1
2718,4
4986,4
1002,0
1287,6
6027,3
2337,5
1858,4
592,3
6710,6
4641,0
798,1
1370,4
6538,0
4578,0
177,1
2462,0
4725,0
5873,2
544,5
4301,5
4176,3
1420,5
2542,5
3109,5
1550,2
4701,5
2509,6
1554,3
6651,0
378,5
5466,5
4963,2
199,1
3634,0
1882,4
6071,2
2548,0
4393,2
4813,6
2559,2
5272,1
1144,5
2821,4
3646,5
3599,4
696,4
4560,4
